num_neurons,membrane_threshold,currents_period,external_current,number_of_external_current,leak_coefficient,simulation_duration,refractory_period,guessed_critical_weight,observed_critical_synaptic_mean_weight,theoretical_critical_synaptic_mean_weight,error
1000,190.0,1,2.0,10,0.0001,2000,1,0.5,0.23084135826331414,0.19018618618618618,0.17611736641557
1000,200.0,1,2.0,10,0.0001,2000,1,0.5,0.24319614366833536,0.20019619619619622,0.1768117981787629
1000,10.0,1,2.5,10,0.0001,2000,1,0.5,0.010271917784686653,0.010005005005005004,0.025984707556709744
1000,20.0,1,2.5,10,0.0001,2000,1,0.5,0.021482385110810267,0.020015015015015014,0.06830573459261047
1000,30.0,1,2.5,10,0.0001,2000,1,0.5,0.03641561502235891,0.030025025025025024,0.175490376680721
1000,40.0,1,2.5,10,0.0001,2000,1,0.5,0.0468388210837459,0.040035035035035034,0.14525954947811295
1000,50.0,1,2.5,10,0.0001,2000,1,0.5,0.0542745650117224,0.05004504504504505,0.07792821491547366
1000,60.0,1,2.5,10,0.0001,2000,1,0.5,0.07279965642763832,0.060055055055055054,0.17506403186464475
1000,70.0,1,2.5,10,0.0001,2000,1,0.5,0.07119830754069544,0.07006506506506507,0.01591670525289697
1000,80.0,1,2.5,10,0.0001,2000,1,0.5,0.0949849972415171,0.08007507507507508,0.15697133862657023
1000,90.0,1,2.5,10,0.0001,2000,1,0.5,0.0945651825901063,0.09008508508508509,0.04737576116613906
1000,100.0,1,2.5,10,0.0001,2000,1,0.5,0.11864734473771946,0.10009509509509511,0.1563646424927229
1000,110.0,1,2.5,10,0.0001,2000,1,0.5,0.13044393629437862,0.11010510510510511,0.15592009691714576
1000,120.0,1,2.5,10,0.0001,2000,1,0.5,0.14242714879129947,0.12011511511511512,0.15665576307280077
1000,130.0,1,2.5,10,0.0001,2000,1,0.5,0.16053339986058504,0.13012512512512514,0.18942023754475962
1000,140.0,1,2.5,10,0.0001,2000,1,0.5,0.17092042297823984,0.14013513513513515,0.18011474174168185
1000,150.0,1,2.5,10,0.0001,2000,1,0.5,0.17479083047546234,0.15014514514514515,0.14100101969466314
1000,160.0,1,2.5,10,0.0001,2000,1,0.5,0.19035100049814116,0.16015515515515516,0.15863244881279662
1000,170.0,1,2.5,10,0.0001,2000,1,0.5,0.1973605627613438,0.17016516516516517,0.13779550086237033
1000,180.0,1,2.5,10,0.0001,2000,1,0.5,0.20432409751049116,0.18017517517517517,0.11818930135774143
1000,190.0,1,2.5,10,0.0001,2000,1,0.5,0.22971904305886043,0.19018518518518518,0.17209656346838242
1000,200.0,1,2.5,10,0.0001,2000,1,0.5,0.23895640583097222,0.2001951951951952,0.1622103851996965
1000,10.0,1,3.0,10,0.0001,2000,1,0.5,0.010945589857851809,0.010004004004004004,0.08602422218226632
1000,20.0,1,3.0,10,0.0001,2000,1,0.5,0.02252615004527595,0.020014014014014012,0.11152087801123252
1000,30.0,1,3.0,10,0.0001,2000,1,0.5,0.03579527086532798,0.030024024024024022,0.16122931051470554
1000,40.0,1,3.0,10,0.0001,2000,1,0.5,0.04843790802162866,0.040034034034034036,0.1734978724482093
1000,50.0,1,3.0,10,0.0001,2000,1,0.5,0.051647027392772646,0.05004404404404405,0.031037281904687398
1000,60.0,1,3.0,10,0.0001,2000,1,0.5,0.07369926267081801,0.060054054054054055,0.18514715239026291
1000,70.0,1,3.0,10,0.0001,2000,1,0.5,0.0779463425494072,0.07006406406406407,0.10112441748433365
1000,80.0,1,3.0,10,0.0001,2000,1,0.5,0.08539371675245835,0.08007407407407408,0.06229548122146978
1000,90.0,1,3.0,10,0.0001,2000,1,0.5,0.10282141458699588,0.09008408408408408,0.12387818776928913
1000,100.0,1,3.0,10,0.0001,2000,1,0.5,0.11971390924955162,0.1000940940940941,0.1638891861309007
1000,110.0,1,3.0,10,0.0001,2000,1,0.5,0.12442078445490919,0.11010410410410411,0.11506662985229389
1000,120.0,1,3.0,10,0.0001,2000,1,0.5,0.1475724023813424,0.12011411411411411,0.1860665532588757
1000,130.0,1,3.0,10,0.0001,2000,1,0.5,0.1531042464776057,0.13012412412412414,0.15009461123498513
1000,140.0,1,3.0,10,0.0001,2000,1,0.5,0.1699201653677604,0.14013413413413414,0.17529426933619066
1000,150.0,1,3.0,10,0.0001,2000,1,0.5,0.18098670563014602,0.15014414414414415,0.17041340897728668
1000,160.0,1,3.0,10,0.0001,2000,1,0.5,0.17647263263037605,0.16015415415415415,0.09247030677216185
1000,170.0,1,3.0,10,0.0001,2000,1,0.5,0.20268422702379307,0.17016416416416416,0.16044693431330198
1000,180.0,1,3.0,10,0.0001,2000,1,0.5,0.20963172531268612,0.18017417417417417,0.14052048226275457
1000,190.0,1,3.0,10,0.0001,2000,1,0.5,0.19693563793335184,0.19018418418418417,0.034282539310901826
1000,200.0,1,3.0,10,0.0001,2000,1,0.5,0.2405768196061823,0.2001941941941942,0.1678575079597999
1000,10.0,1,3.5,10,0.0001,2000,1,0.5,0.011381361131960756,0.010003003003003002,0.12110661571814067
1000,20.0,1,3.5,10,0.0001,2000,1,0.5,0.022802891380600654,0.020013013013013014,0.12234757079802182
1000,30.0,1,3.5,10,0.0001,2000,1,0.5,0.03512478148482121,0.030023023023023024,0.14524669609696667
1000,40.0,1,3.5,10,0.0001,2000,1,0.5,0.04833245110419368,0.04003303303303303,0.17171523234501407
1000,50.0,1,3.5,10,0.0001,2000,1,0.5,0.05451068817220757,0.050043043043043044,0.0819590667256035
1000,60.0,1,3.5,10,0.0001,2000,1,0.5,0.0724798626704994,0.06005305305305305,0.1714518924234149
